GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  
2025,25353976,2759152,9.789,1.065,42.236423,-70.814436
2026,26532282,1037913,10.244,0.401,42.246872,-71.179462
2030,39156785,816010,15.119,0.315,42.235239,-71.288033
2032,6059763,155224,2.34,0.06,42.156882,-71.216187
2035,51406166,2593190,19.848,1.001,42.061338,-71.245802
2038,68961369,1038180,26.626,0.401,42.084858,-71.410571
2043,57360230,2272710,22.147,0.877,42.216098,-70.88127
2045,6884305,14237690,2.658,5.497,42.292253,-70.923919
2047,619346,21837,0.239,0.008,42.133734,-70.68586
2048,52060788,830921,20.101,0.321,42.0173,-71.2173
2050,75313203,10898331,29.079,4.208,42.115139,-70.710331
2052,37301546,605137,14.402,0.234,42.184599,-71.305307
2053,29895568,335631,11.543,0.13,42.155816,-71.432781
2054,31135995,602474,12.022,0.233,42.172551,-71.362811
2056,38510396,1290267,14.869,0.498,42.113655,-71.334163
2061,54237722,812573,20.941,0.314,42.164569,-70.818844
2062,26828064,419974,10.358,0.162,42.18736,-71.195955
2066,43839731,5682336,16.927,2.194,42.202273,-70.758184
2067,58720813,2471501,22.672,0.954,42.107782,-71.181771
2071,2513156,33452,0.97,0.013,42.103425,-71.273589
2072,41680249,969267,16.093,0.374,42.119006,-71.10365
